GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),435592.84885207267,,,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
                                           Sectoral approach(2),449101.8046795285,136.334244719277,19.17048543007021,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
1.  Energy industries,155423.38558763938,5.28057350468197,1.7669559685931,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,85419.387663498,6.67637226804134,4.50301020939925,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
3.  Transport,121424.241644953,14.7055251791565,3.66076514012803,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
4.  Other sectors,86075.60571419523,109.59796568386777,9.04077579783218,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
5.  Other,759.184069242936,0.07380808352941,0.19897831411765,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
B. Fugitive emissions from fuels,2596.046818345787,254.93883880202597,0.04157476454073,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
1.  Solid fuels,0.33063685269825,3.849495,,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2595.7161814930887,251.08934380202598,0.04157476454073,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy
