GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Country,Year,Level
Total national emissions and removals,607337.2622038256,5388.815527925926,167.6798719143614,12068.457467471051,1483.661308829743,0.05288630573414,GBR,1990,Total
Total national emissions and removals,614363.2203847475,5419.626362665269,168.1944723172287,12582.825728160473,1243.0533429827867,0.05545701674504,GBR,1991,Total
Total national emissions and removals,597922.1096053956,5412.773361828221,151.4358931095106,13102.55620347052,617.6405516478967,0.05827520672488,GBR,1992,Total
Total national emissions and removals,583385.0584462105,5355.291009471564,137.0323899641951,13764.685728208276,538.7008464761537,0.05098350085002,GBR,1993,Total
Total national emissions and removals,577002.1620812862,5081.999547565378,139.2449717514107,14537.303027826963,546.4092799665525,0.05294168695483,GBR,1994,Total
Total national emissions and removals,569166.3775157833,5148.808197628839,134.66254722096738,15619.653424166469,533.2729159722217,0.05493050010729,GBR,1995,Total
Total national emissions and removals,588829.4196382763,5118.021418224986,134.90755768124126,16429.438360306707,531.936901170432,0.0569484059461,GBR,1996,Total
Total national emissions and removals,564783.4410595656,5019.541542898844,135.95180120376398,18356.108004685517,446.9412735815819,0.0558155329415,GBR,1997,Total
Total national emissions and removals,569367.1492088307,4881.873577704541,135.94562415593998,15373.822893074395,435.31214191674064,0.05789710508732,GBR,1998,Total
Total national emissions and removals,562016.9034296797,4656.257970000691,103.80261191427914,8525.733722629047,412.3438056658791,0.06525650286023,GBR,1999,Total
Total national emissions and removals,569664.5188886405,4440.300650440893,101.53920045003952,6964.333102360221,518.6561076267035,0.07923086141182,GBR,2000,Total
Total national emissions and removals,578183.0449040702,4264.230417310926,96.65904471149624,7638.82274626573,432.1746820816712,0.06279787276026,GBR,2001,Total
Total national emissions and removals,559951.8059813032,4169.075637858351,91.1035318049333,8021.329617994803,365.481826428161,0.06436908062207,GBR,2002,Total
Total national emissions and removals,570567.3833893036,3973.232719362052,89.62835714034085,8797.697475213592,321.2956096285321,0.0565918238966,GBR,2003,Total
